t,th1,w1,th2,w2,x1,y1,x2,y2
23.41,0.24163593375538525,2.9706232883318857,-15.069628029662779,-0.7952286790023806,0.23929135222006215,-0.9709478094896214,-0.35656796390761714,-0.1678589754345996
23.42,0.2714906932607294,2.9994983589784736,-15.076984893502447,-0.6773540338197723,0.2681678265760751,-0.9633722109286027,-0.3217672027367541,-0.1559214934295894
23.43,0.30160795494090265,3.022993253170538,-15.083201031870722,-0.5672520633432185,0.2970559619908155,-0.9548600711338343,-0.2878484766415039,-0.14375785953025888
23.44,0.33193014130438336,3.040367473255675,-15.088359069423777,-0.46588536152822574,0.32586841906190767,-0.9454151328692031,-0.254844561678207,-0.13130676538982933
23.45,0.3623927421289857,3.050978093642609,-15.092550690344952,-0.3740977771931794,0.35451258247432327,-0.9350512439793801,-0.2227828731282383,-0.11851590675224533
23.46,0.39292537716329884,3.0542964503322914,-15.095875296504945,-0.2925845501712081,0.3828924923127862,-0.923792909331146,-0.1916851194564687,-0.10534280819269581
23.47,0.42345300315295925,3.049920196007634,-15.09843839998936,-0.22186928350761362,0.4109109148753716,-0.9116755015005531,-0.16156703954209434,-0.09175538849807663
23.48,0.4538972159229853,3.037580204763047,-15.100349824374007,-0.16228885093153406,0.4384714588255336,-0.8987451139201862,-0.132438235462648,-0.07773225106858928
23.490000000000002,0.48417759515858044,3.017142222650802,-15.101721796910299,-0.1139866934635567,0.465480640909519,-0.8850580619024174,-0.10430210931822093,-0.06326269957496244
23.5,0.5142130404146467,2.988603535608938,-15.102667015148993,-0.07691433409295986,0.49184981139218986,-0.8706800577901548,-0.07715590845364617,-0.048346493606664764
23.51,0.5439230511777146,2.9520852274471046,-15.10329676704133,-0.05084040284448982,0.5174968617183392,-0.8556851045283365,-0.05099087921329115,-0.0329933710032867
23.52,0.5732289106479224,2.907820807692952,-15.10371917433476,-0.03536605960110491,0.5423476539707944,-0.8401541657531524,-0.025792525265642796,-0.01722237226283585
23.53,0.6020547413379482,2.856142099808021,-15.104037616548332,-0.02994544576638584,0.5663371314582641,-0.8241736792276401,-0.0015409627544106241,-0.001061007648967105
23.54,0.6303284096801052,2.7974633053670166,-15.104349378446052,-0.033909682821149555,0.5894100902225301,-0.8078339839000764,0.021788638771819024,0.015455690426638302
23.55,0.6579822658262715,2.7322641176842537,-15.104744549063641,-0.046492945339600765,0.6115216106566183,-0.7912277293547891,0.044225543406328116,0.03228618800323235
23.56,0.6849537131469359,2.6610726697696316,-15.105305186072453,-0.06685923980101238,0.632637165418014,-0.7744483307050641,0.0658028796773853,0.049383504385636434
23.57,0.7111856092206955,2.584448985413716,-15.106104746378072,-0.0941286890986193,0.6527324335124086,-0.7575885230393666,0.08655703212306909,0.06669626686132069
23.580000000000002,0.7366265061562186,2.5029694738305377,-15.107207772862234,-0.12740232951065125,0.6717928603667402,-0.7407390584816447,0.10652701117033403,0.08416973631464408
23.59,0.7612307428422006,2.4172128784602216,-15.108669818355732,-0.1657846504425261,0.6898130098531124,-0.7239875768529387,0.12575381856255197,0.1017467803834784
23.6,0.7849584051985904,2.3277479662997886,-15.110537581357178,-0.2084033309847175,0.7067957568193501,-0.7074176688082947,0.1442798245843968,0.11936877640101162
23.61,0.8077751727847756,2.2351231297706264,-15.112849223626263,-0.25442583922863066,0.7227513681992638,-0.691108138981225,0.16214817171109508,0.13697643163173334
23.62,0.8296520713200195,2.1398579712050396,-15.115634837417144,-0.3030727518320702,0.7376965178174409,-0.6751324667056252,0.17940221718522464,0.1545105130643385
23.63,0.8505651509201293,2.042436852144329,-15.118917029543018,-0.3536278167218723,0.7516532752247935,-0.6595584536975027,0.19608502454850985,0.17191248316108287
23.64,0.8704951092998006,1.9433043168230741,-15.122711590395872,-0.4054449174496601,0.764648102951554,-0.6444480418564321,0.21223891149437357,0.1891250414383826
23.650000000000002,0.8894268779844409,1.8428622420759868,-15.127028218177662,-0.4579522018692946,0.7767108900353588,-0.6298572801043748,0.22790505872154898,0.2060925745615364
23.66,0.9073491878782011,1.7414685245345227,-15.131871271615411,-0.5106537105521066,0.7878740430800982,-0.6158364167866492,0.24312318191068694,0.22276151980464998
23.67,0.9242541285005235,1.6394370898848762,-15.13724052802562,-0.563128883389881,0.798171649824523,-0.6024300933854474,0.2579312666364758,0.23908064830049913
23.68,0.9401367129802667,1.5370389969827727,-15.14313192748054,-0.6150303392531715,0.8076387245366831,-0.5896776158450987,0.2723653640577741,0.255001275545953
23.69,0.9549944586171634,1.4345044100143365,-15.149538287764168,-0.6660803175309337,0.816310539681893,-0.5776132813606838,0.2864594436509865,0.27047740720678715
23.7,0.9688269905972666,1.332025222453398,-15.156449978588048,-0.7160661466727218,0.8242220443239838,-0.5662667407241864,0.30024529808501654,0.28546582845514523
23.71,0.9816356743728358,1.2297581348225362,-15.163855547015034,-0.7648350684853445,0.8314073666217264,-0.5556633789688917,0.3137524945687098,0.29992614495001124
23.72,0.9934232803508224,1.1278280117268857,-15.171742289109849,-0.8122887026801331,0.8378993955242737,-0.5458246998625628,0.3270083665969996,0.3138207832068425
23.73,1.0041936829192442,1.0263313699496572,-15.18009676544252,-0.8583773882782718,0.843729435263313,-0.5367687025807772,0.340038039930153,0.32711495756527176
23.740000000000002,1.0139515944941822,0.9253398765616347,-15.188905260195362,-0.9030945904600371,0.8489269253736095,-0.5285102415050348,0.35286448680063254,0.33977661031124806
23.75,1.0227023341930022,0.8249037623742861,-15.198154185279803,-0.9464715159589668,0.853519218629099,-0.5210613624428244,0.3655086026939718,0.351776330793792
23.76,1.0304516299166233,0.7250550804798697,-15.207830432090502,-0.9885720389811808,0.8575314093412726,-0.5144316106084178,0.3779893005342495,0.36308725863651947
23.77,1.037205452031998,0.6258107612999737,-15.217921674360763,-1.0294880039512841,0.8609862048234183,-0.5086283074149204,0.3903236176697895,0.37368497541258683
23.78,1.042969876455678,0.5271754341053848,-15.228416626092502,-1.0693349415950553,0.8639038333851295,-0.5036567945163437,0.4025268316569569,0.38354738845188474
23.79,1.0477509747180125,0.4291440002749328,-15.239305258774454,-1.1082482109239782,0.8663019829089358,-0.49952064462647183,0.41461258144410224,0.3926546097963015
23.8,1.051554728503754,0.3317039557373366,-15.250578982131476,-1.146379561209223,0.8681957648140292,-0.49622183946193144,0.4265929911387243,0.4009888327228557
23.81,1.054386966187995,0.23483746936066419,-15.2622307925166,-1.183894094424359,0.8695976989842008,-0.4937609157490934,0.4384787940796988,0.4085342077188011
23.82,1.0562533189900813,0.13852323085942136,-15.274255392812204,-1.220967599197936,0.8705177159953202,-0.492137080637388,0.4502794554225294,0.4152767193187043
23.830000000000002,1.0571591945287873,0.04273808647373546,-15.28664928738421,-1.2577842213158599,0.8709631736994253,-0.4913482981138986,0.4620032918719561,0.42120406479776606
23.84,1.0571097657606432,-0.0525415163855916,-15.299410855265588,-1.294534432552553,0.8709388858943599,-0.491391348150424,0.4736575875618375,0.42630553535481347
23.85,1.0561099735040123,-0.1473382527724399,-15.312540404355762,-1.3314132584516984,0.8704471614228575,-0.49226186036589303,0.48524870538699405,0.43057190010648316
23.86,1.0541645409823122,-0.24167278887333132,-15.326040209029584,-1.3686187260735718,0.8694878526010714,-0.4939543239806465,0.49678219333886536,0.43399529294579225
23.87,1.0512779990512988,-0.3355627727617131,-15.339914533166638,-1.406350494217944,0.8680584123749873,-0.4964620757973529,0.5082628855901445,0.4365691020877258
23.88,1.0474547210008478,-0.4290219251641027,-15.354169640247036,-1.4448086308487873,0.866153960047285,-0.49977726788481114,0.5196949982166569,0.43828786192614366
23.89,1.0426989660362795,-0.5220592094384628,-15.368813791820463,-1.4841925051062477,0.8637673558113516,-0.5038908165809989,0.5310822195426097,0.43914714665582044
23.900000000000002,1.037014930744811,-0.6146780615026423,-15.38385723534311,-1.5246997641762035,0.8608892846779822,-0.5087923343827342,0.5424277951508147,0.4391434649666405
23.91,1.0304068080368325,-0.7068756621633517,-15.399312182094864,-1.5665253682503306,0.8575083506880784,-0.5144700462614045,0.553734607616726,0.4382741549911773
23.92,1.0228788532182214,-0.7986422361117829,-15.415192775636072,-1.6098606597471186,0.8536111825750109,-0.5209106919452619,0.5650052510061085,0.43653727858015845
23.93,1.0144354569979086,-0.8899603637343609,-15.431515051039197,-1.654892445819352,0.8491825522757062,-0.528099415745291,0.5762421001232305,0.4339315138920061
23.94,1.005081225363718,-0.9808042938151408,-15.448296884935008,-1.7018020759194368,0.8442055078910288,-0.5360196455788259,0.5874473744113096,0.4304560452132451
23.95,0.9948210663691028,-1.0711392471695642,-15.46555793624356,-1.7507644988261248,0.8386615228635359,-0.544652962966525,0.5986231962900108,0.42611044887787575
23.96,0.9836602839628175,-1.1609207032589697,-15.483319577317394,-1.8019472860735464,0.8325306632719135,-0.5539789659472891,0.6097716435678417,0.4208945741287974
23.97,0.9716046790630213,-1.2500936638952376,-15.501604815105788,-1.8555096111905343,0.8257917752331095,-0.5639751270733041,0.6208947953901225,0.41480841776754707
23.98,0.9586606581253865,-1.3385918902801066,-15.520438201855564,-1.9116011765963707,0.8184226944495541,-0.5746166489146759,0.6319947709780146,0.40785199147548423
23.990000000000002,0.9448353494815523,-1.4263371118449073,-15.53984573479422,-1.9703610824465343,0.810400479933336,-0.5858763198182861,0.6430737601815362,0.40002518076739746
24.0,0.9301367277278114,-1.5132382076914916,-15.559854744196933,-2.031916634228648,0.8017016738725985,-0.5977243730264592,0.6541340446134147,0.39132759466524103
24.01,0.9145737464238525,-1.5991903638965228,-15.580493769219686,-2.096382088517408,0.7923025894680628,-0.6101283526621284,0.6651780078543393,0.3817584053649842
24.02,0.8981564793158675,-1.6840742125505543,-15.601792420888483,-2.163857339056299,0.7821796283479039,-0.6230529905212998,0.6762081329304634,0.3713161774233783
24.03,0.8808962702257034,-1.7677549611751027,-15.623781231671183,-2.234426548288934,0.7713096288549596,-0.6364600980702754,0.6872269849696129,0.3599986863243678
24.04,0.8628058916470531,-1.8500815241024302,-15.646491491125008,-2.308156732654392,0.759670246079396,-0.650308478509753,0.6982371766548147,0.34780272670791934
24.05,0.8438997119580063,-1.930885670526772,-15.669955067213527,-2.385096313435518,0.7472403639696358,-0.6645538642236055,0.7092413138287557,0.33472391106632404
24.060000000000002,0.8241938709962152,-2.009981207235173,-15.694204213023006,-2.4652736487402436,0.7340005391844028,-0.679148885353577,0.7202419183791002,0.3207564603434724
24.07,0.8037064635452721,-2.087163217500724,-15.719271358784694,-2.548695566346268,0.7199334755394352,-0.6940430756067735,0.7312413253769406,0.30589298861536085
24.080000000000002,0.7824577300482677,-2.1622073812462874,-15.74518888932897,-2.6353459216760933,0.7050245269490548,-0.7091829216783646,0.7422415513765823,0.290124284886644
24.09,0.7604702535947879,-2.234869405333651,-15.771988907364383,-2.725184210121667,0.6892622256641646,-0.7245119628222036,0.7532441308472643,0.2734390960023967
24.1,0.7377691619197431,-2.3048845966479803,-15.799702983293615,-2.818144268321419,0.6726388313697722,-0.7399709470874564,0.764249917932328,0.25582391573260654
24.11,0.714382332807099,-2.371967614445799,-15.828361892652703,-2.914133104801066,0.6551508953409171,-0.7554980505163429,0.7752588511564562,0.2372627862161566
24.12,0.6903406009078964,-2.4358124421028187,-15.857995342695192,-3.01302990659968,0.6367998323877947,-0.7710291651233931,0.7862696793659185,0.21773711911385585
24.13,0.6656779635639418,-2.4960926217597934,-15.888631690141029,-3.1146852750346388,0.6175924917845321,-0.7864982607046075,0.7972796481250158,0.19722554496763023
24.14,0.6404317827783388,-2.5524617981927165,-15.920297652675673,-3.2189207504898336,0.5975417168169901,-0.8018378244155137,0.8082841470336664,0.17570380032809252
24.150000000000002,0.6146429800005568,-2.604554620208872,-15.953018017416799,-3.3255286928192263,0.5766668810655214,-0.8169793805734412,0.8192763199928019,0.1531446631155038
24.16,0.5883562199053849,-2.651988048592192,-15.986815350264795,-3.4342725903324105,0.5549943881325899,-0.831854091257194,0.8302466423269113,0.12951794732149524
24.17,0.561620078858694,-2.694363118576925,-16.021709710811383,-3.544887875915891,0.5325581203234766,-0.8463934359844276,0.8411824708524358,0.10479056843352841
24.18,0.5344871932979937,-2.7312672014089006,-16.05771837828867,-3.6570833330539614,0.5093998208927834,-0.8605299660525485,0.8520675754040397,0.07892669075404057
24.19,0.5070143828394537,-2.762276803055238,-16.094855594881558,-3.7705431765997917,0.48556939399287674,-0.8741981260660483,0.8628816629090241,0.05188796697571041
24.2,0.4792627425911701,-2.7869609277824545,-16.13313233357259,-3.884929892217932,0.4611251065226306,-0.8873351318044905,0.8735999077041332,0.023633878859582458
24.21,0.4512976989452324,-2.804885019378685,-16.17255609850732,-3.9998879134944625,0.4361336767923918,-0.8998818900097665,0.8841925042489596,-0.005877814438381979
24.22,0.42318902309052875,-2.8156154725650486,-16.21313076661246,-4.1150482057698765,0.41067023640510353,-0.9117839420229863,0.8946242604963642,-0.036690516972908926
24.23,0.39501079668719796,-2.8187246811482334,-16.25485647981622,-4.230033809888213,0.3848181540910068,-0.9229924096556754,0.9048542516932812,-0.06884812606501778
24.240000000000002,0.36684132463336916,-2.813796557572112,-16.29772959764495,-4.344466376608711,0.3586687134830993,-0.9334649184454542,0.9148355550473848,-0.10239425698253934
24.25,0.33876299069056526,-2.8004324210935363,-16.34174272013767,-4.457973693207821,0.3323206409908472,-0.9431664707629468,0.9245150852543911,-0.13737137262484533
24.26,0.3108620529689301,-2.7782571098400752,-16.386884790862293,-4.570198168284735,0.30587948497317746,-0.9520702393587059,0.9338335491152341,-0.17381983407293045
24.27,0.28322837794321903,-2.746925127264372,-16.43314128927835,-4.680806200350256,0.27945685320720587,-0.96015825112089,0.9427255342240835,-0.2117768932677354
24.28,0.25595511379095,-2.7061265885346044,-16.480494520733643,-4.789498312849034,0.2531695219981024,-0.9674219312850274,0.9511197419146956,-0.2512756539656664
24.29,0.229138306403068,-2.655592690447288,-16.528924010995627,-4.8960198963711195,0.22713843690243546,-0.9738624802719932,0.9589393683759677,-0.2923440310026645
24.3,0.20287646436421142,-2.595100393255284,-16.578407010438774,-5.000172362536663,0.2014876315940328,-0.9794910588232173,0.9661026302967042,-0.3350037402831906
24.310000000000002,0.1772700824496262,-2.524475978222382,-16.628919110914975,-5.101824488751366,0.17634309749399324,-0.9843287621350013,0.9725234229325528,-0.37926935233745973
